"Date","MinTemp","MaxTemp","Rainfall","Sunshine","WindGustDir","WindGustSpeed","WindSpeed","Humidity","Pressure","Cloud","Temp"
"2015-08-13",0.1,10.4,0,7.9,"SW",59,24,63,1020.1,6,8.6
"2015-10-01",2.3,16.8,0,11.4,"NW",41,28,34,1017,1,16.3
"2015-08-28",-3.3,15.1,0,NA,"SW",30,13,23,1025.5,1,14.4
"2015-01-23",9.9,24.4,0,10.8,"NW",28,7,38,1019.2,4,22.7
"2015-07-23",-2.2,11.6,0,9.2,"SW",39,28,33,1025.8,1,11
"2015-05-24",1.2,14.8,0,6.7,"SW",17,6,49,1024.8,1,14.5
"2015-01-06",14.3,34.1,0,10.5,"ES",39,19,34,1003.3,1,31.9
"2015-10-12",8.2,22.4,0,11.2,"NW",31,17,30,1023.8,3,20.6
"2015-01-02",14.3,35,0,10.5,"ES",41,9,14,1008.7,1,33.6
"2015-10-05",14.4,20.7,7.6,4.9,"NW",33,19,65,1013.2,4,19.3
"2015-05-17",4.5,16,1.8,4.3,"NW",35,15,69,1013.7,7,15.2
"2015-10-30",12.5,19.9,0,5.3,"ES",43,9,47,1022.8,2,18.3
"2015-07-25",-1,12.2,0,8.4,"ES",30,13,51,1027.4,5,10.8
"2015-07-30",0.8,12.2,0,8.6,"ES",NA,22,49,1016.8,1,11.2
"2014-11-18",11.7,30,1.2,10.1,"SW",52,11,26,1013,5,28.6
"2015-09-15",13.1,19.4,9.8,6,"NW",67,30,43,1006,1,18.2
"2015-06-17",6.4,16.9,0,5.9,"SW",26,9,51,1024.8,2,16
"2015-06-14",8.7,13,0.6,7.1,"SW",54,28,58,1014.1,2,11.1
"2015-03-13",13.3,31.7,0.2,11,"SW",44,28,23,1017.6,5,30.7
"2015-10-19",6.7,24.7,0,8.6,"NW",43,20,31,1022.2,7,23.7
"2014-12-16",15.5,21.1,5.4,0.9,"SW",31,7,86,1008.6,8,20
"2015-01-19",15.3,19.6,18.8,0,"NW",33,13,88,1006,8,18.6
